case_id,vendor_id,vendor_age_days,existing_vendor,invoice_amount,historical_average_amount,bank_account_changed,bank_change_age_days,email_domain_changed,lookalike_domain_signal,invoice_number_pattern_valid,duplicate_invoice_signal,purchase_order_match,payment_terms_match,unusual_urgency,location_changed,vendor_contact_verified,callback_verified,supporting_documents_available,true_state
case-001,vendor-006,2400,true,1650.0,1500.0,false,,false,false,true,false,true,true,false,false,true,,true,LEGITIMATE
case-002,vendor-012,800,true,450.0,500.0,false,,false,false,true,false,true,true,false,false,true,,true,LEGITIMATE
case-003,vendor-002,2400,true,3300.0,3000.0,false,,false,false,true,false,true,true,false,false,true,,true,LEGITIMATE
case-004,vendor-006,2400,true,22500.0,7500.0,false,,false,false,true,false,true,false,false,true,false,,false,FRAUD
case-005,vendor-001,120,true,900.0,500.0,false,,false,false,true,true,true,true,false,false,true,,true,ERROR
case-006,vendor-004,30,true,1100.0,500.0,false,,false,false,true,false,false,true,false,false,false,,true,ERROR
case-007,vendor-008,365,true,4500.0,1500.0,false,,false,false,true,true,false,true,false,false,false,,false,FRAUD
case-008,vendor-006,120,true,1650.0,1500.0,true,90,false,false,true,false,true,true,false,false,true,,true,LEGITIMATE
case-009,vendor-010,120,true,500.0,500.0,false,,false,false,true,false,true,true,false,false,true,,true,LEGITIMATE
case-010,vendor-008,800,true,4500.0,900.0,true,1,true,false,true,false,true,true,false,false,false,,false,FRAUD
case-011,vendor-004,365,true,5250.0,7500.0,false,,false,false,true,false,false,true,false,false,true,,true,ERROR
case-012,vendor-001,365,true,7200.0,900.0,false,,false,false,true,true,false,true,false,false,false,,false,FRAUD
case-013,vendor-002,120,true,2700.0,1500.0,false,,false,false,false,false,true,true,false,false,true,,true,ERROR
case-014,vendor-011,800,true,1980.0,900.0,false,,false,false,true,false,true,true,false,true,true,,true,ERROR
case-015,vendor-003,365,true,3000.0,3000.0,false,,false,false,true,false,true,true,false,false,true,true,true,LEGITIMATE
case-016,vendor-012,2400,true,4500.0,900.0,false,,false,true,true,false,true,true,true,false,false,,false,FRAUD
case-017,vendor-007,2400,true,60000.0,7500.0,false,,false,false,true,true,false,true,false,false,false,,false,FRAUD
case-018,vendor-004,120,true,3300.0,1500.0,false,,false,false,false,false,true,true,false,false,false,,true,ERROR
case-019,vendor-001,30,true,500.0,500.0,false,,false,false,true,false,true,true,false,false,true,,true,LEGITIMATE
case-020,vendor-011,800,true,630.0,900.0,false,,false,false,true,true,true,true,false,false,true,,true,ERROR
case-021,vendor-007,2400,true,6600.0,3000.0,false,,false,false,true,false,false,true,false,false,false,,true,ERROR
case-022,vendor-005,2400,true,15000.0,7500.0,false,,false,false,true,true,false,true,false,false,false,,false,FRAUD
case-023,vendor-011,2400,true,2500.0,500.0,true,3,false,false,true,false,true,true,false,false,false,,false,FRAUD
case-024,vendor-002,365,true,12000.0,1500.0,false,,false,false,true,false,true,false,false,true,false,,false,FRAUD
case-025,vendor-008,30,true,1620.0,900.0,false,,false,false,true,true,true,true,false,false,true,,true,ERROR
case-026,vendor-003,2400,true,5250.0,7500.0,false,,false,false,true,false,false,true,false,false,true,,true,ERROR
case-027,vendor-011,2400,true,4500.0,1500.0,false,,false,false,true,true,false,true,false,false,false,,false,FRAUD
case-028,vendor-006,120,true,1800.0,900.0,true,3,false,false,true,false,true,true,false,false,false,,false,FRAUD
case-029,vendor-006,800,true,6750.0,7500.0,false,,false,false,true,false,true,true,false,false,true,,true,LEGITIMATE
case-030,vendor-006,365,true,500.0,500.0,false,,false,false,true,false,true,true,false,false,true,true,true,LEGITIMATE
case-031,vendor-004,2400,true,1000.0,500.0,false,,false,true,true,false,true,true,true,false,false,,false,FRAUD
case-032,vendor-012,800,true,350.0,500.0,false,,false,false,true,false,true,false,true,false,true,,true,ERROR
case-033,vendor-003,120,true,9750.0,7500.0,false,,false,false,true,false,true,true,false,false,true,,true,LEGITIMATE
case-034,vendor-003,365,true,9750.0,7500.0,false,,false,false,true,false,true,true,false,false,true,,true,LEGITIMATE
case-035,vendor-009,120,true,990.0,900.0,false,,false,false,true,false,true,true,false,false,true,true,true,LEGITIMATE
case-036,vendor-011,365,true,3900.0,3000.0,true,90,false,false,true,false,true,true,false,false,true,,true,LEGITIMATE
case-037,vendor-008,30,true,7500.0,7500.0,false,,false,false,true,false,true,true,false,false,true,,true,LEGITIMATE
case-038,vendor-002,365,true,630.0,900.0,false,,false,false,false,false,true,true,false,false,true,,true,ERROR
case-039,vendor-009,120,true,7500.0,7500.0,false,,false,false,true,false,true,true,false,false,true,,true,LEGITIMATE
case-040,vendor-002,30,true,500.0,500.0,true,90,false,false,true,false,true,true,false,false,true,true,true,LEGITIMATE
